PLAYER_ID,RAPM,PLAYER,TeamID,id,Team
1642324,-0.11872486210023844,Kate Martin,1611661331.0,1611661331.0,Golden State Valkyries
1631064,0.0192119418751436,Chloe Bibby,1611661325.0,1611661325.0,Indiana Fever
1642841,0.1951273788244983,Mamignan Touré,1611661323.0,1611661323.0,Connecticut Sun
1630043,-0.8499291519382912,,,,
1628508,-0.7686976341516158,Cecilia Zandalasini,1611661331.0,1611661331.0,Golden State Valkyries
1629546,-0.5989812682171762,Marine Johannès,1611661313.0,1611661313.0,New York Liberty
1631083,0.46254409125991763,Emily Engstler,1611661322.0,1611661322.0,Washington Mystics
1631086,-0.6942700259263797,Lexie Hull,1611661325.0,1611661325.0,Indiana Fever
1631090,-0.0,,,,
1631091,0.5004224020505593,,,,
1629566,-0.101218041705988,,,,
1629567,-0.7376315394803318,Natisha Hiedeman,1611661324.0,1611661324.0,Minnesota Lynx
1629568,-1.2536647896586843,Kennedy Burke,1611661313.0,1611661313.0,New York Liberty
1629571,-1.9447054728586604,,,,
1629574,1.0042704060428416,Li Yueru,1611661321.0,1611661321.0,Dallas Wings
1631118,-0.6981057480533421,Lexi Held,1611661317.0,1611661317.0,Phoenix Mercury
1630096,-0.4775107317631901,DiJonai Carrington,1611661321.0,1611661321.0,Dallas Wings
202641,-0.2913265389282554,Sydney Colson,1611661325.0,1611661325.0,Indiana Fever
1630101,-0.5275894814573986,,,,
1631135,-1.668208020625942,Olivia Nelson-Ododa,1611661323.0,1611661323.0,Connecticut Sun
1630112,0.2237276590567122,Tyasha Harris,1611661321.0,1611661321.0,Dallas Wings
1630113,-0.22519782456815093,,,,
202658,1.4451645216544848,,,,
1630115,-3.431768154566015,,,,
1630114,-1.2986754194394956,,,,
1631141,-0.11879659565885992,Jade Melbourne,1611661322.0,1611661322.0,Washington Mystics
202662,-0.78718856252854,,,,
202664,1.8408124608734555,Courtney Vandersloot,1611661329.0,1611661329.0,Chicago Sky
1630134,-1.8363985149083035,Sug Sutton,1611661322.0,1611661322.0,Washington Mystics
1630139,-1.870711866746789,,,,
1630142,3.5699258797958997,Leonie Fiebich,1611661313.0,1611661313.0,New York Liberty
1630143,-1.4117210637915216,Luisa Geiselsöder,1611661321.0,1611661321.0,Dallas Wings
1630149,1.8467689551718625,Satou Sabally,1611661317.0,1611661317.0,Phoenix Mercury
1630150,2.3946455188695714,,,,
1630151,-0.16419958919291802,,,,
1641650,-0.5773446525976998,Haley Jones,1611661321.0,1611661321.0,Dallas Wings
